2023-02-13T00:10:02+00:00 CRITICAL Cannot redeclare comes_bebes_woocommerce_support() (previously declared in C:\Users\racic\Local Sites\comesebebes\app\public\wp-content\themes\projeto-final-injunior\functions.php:85), em C:\Users\racic\Local Sites\comesebebes\app\public\wp-content\themes\projeto-final-injunior\functions.php, na linha 240

2023-02-13T00:12:03+00:00 CRITICAL Cannot redeclare comes_bebes_woocommerce_support() (previously declared in C:\Users\racic\Local Sites\comesebebes\app\public\wp-content\themes\projeto-final-injunior\functions.php:85), em C:\Users\racic\Local Sites\comesebebes\app\public\wp-content\themes\projeto-final-injunior\functions.php, na linha 240

2023-02-13T00:12:05+00:00 CRITICAL Cannot redeclare comes_bebes_woocommerce_support() (previously declared in C:\Users\racic\Local Sites\comesebebes\app\public\wp-content\themes\projeto-final-injunior\functions.php:85), em C:\Users\racic\Local Sites\comesebebes\app\public\wp-content\themes\projeto-final-injunior\functions.php, na linha 240

2023-02-13T00:12:36+00:00 CRITICAL Cannot redeclare comes_bebes_footer_config() (previously declared in C:\Users\racic\Local Sites\comesebebes\app\public\wp-content\themes\projeto-final-injunior\functions.php:93), em C:\Users\racic\Local Sites\comesebebes\app\public\wp-content\themes\projeto-final-injunior\functions.php, na linha 241

2023-02-13T00:12:50+00:00 CRITICAL Cannot redeclare transforma_menu() (previously declared in C:\Users\racic\Local Sites\comesebebes\app\public\wp-content\themes\projeto-final-injunior\functions.php:113), em C:\Users\racic\Local Sites\comesebebes\app\public\wp-content\themes\projeto-final-injunior\functions.php, na linha 251

2023-02-13T00:13:03+00:00 CRITICAL Cannot redeclare transforma_menu() (previously declared in C:\Users\racic\Local Sites\comesebebes\app\public\wp-content\themes\projeto-final-injunior\functions.php:113), em C:\Users\racic\Local Sites\comesebebes\app\public\wp-content\themes\projeto-final-injunior\functions.php, na linha 251

2023-02-13T00:13:19+00:00 CRITICAL Cannot redeclare custom_address_fields() (previously declared in C:\Users\racic\Local Sites\comesebebes\app\public\wp-content\themes\projeto-final-injunior\functions.php:131), em C:\Users\racic\Local Sites\comesebebes\app\public\wp-content\themes\projeto-final-injunior\functions.php, na linha 253

2023-02-13T00:13:51+00:00 CRITICAL Cannot redeclare remove_required_billing_address_fields() (previously declared in C:\Users\racic\Local Sites\comesebebes\app\public\wp-content\themes\projeto-final-injunior\functions.php:157), em C:\Users\racic\Local Sites\comesebebes\app\public\wp-content\themes\projeto-final-injunior\functions.php, na linha 255

2023-02-13T00:13:57+00:00 CRITICAL Cannot redeclare remove_required_shipping_address_fields() (previously declared in C:\Users\racic\Local Sites\comesebebes\app\public\wp-content\themes\projeto-final-injunior\functions.php:166), em C:\Users\racic\Local Sites\comesebebes\app\public\wp-content\themes\projeto-final-injunior\functions.php, na linha 256

2023-02-13T00:14:02+00:00 CRITICAL Cannot redeclare new_loop_shop_per_page() (previously declared in C:\Users\racic\Local Sites\comesebebes\app\public\wp-content\themes\projeto-final-injunior\functions.php:179), em C:\Users\racic\Local Sites\comesebebes\app\public\wp-content\themes\projeto-final-injunior\functions.php, na linha 260

2023-02-13T00:14:06+00:00 CRITICAL Cannot redeclare my_woocommerce_catalog_orderby() (previously declared in C:\Users\racic\Local Sites\comesebebes\app\public\wp-content\themes\projeto-final-injunior\functions.php:186), em C:\Users\racic\Local Sites\comesebebes\app\public\wp-content\themes\projeto-final-injunior\functions.php, na linha 264

2023-02-13T00:14:25+00:00 CRITICAL Cannot redeclare products_woocommerce_catalog_orderby() (previously declared in C:\Users\racic\Local Sites\comesebebes\app\public\wp-content\themes\projeto-final-injunior\functions.php:199), em C:\Users\racic\Local Sites\comesebebes\app\public\wp-content\themes\projeto-final-injunior\functions.php, na linha 267

2023-02-13T00:15:04+00:00 CRITICAL Cannot redeclare products_woocommerce_catalog_orderby() (previously declared in C:\Users\racic\Local Sites\comesebebes\app\public\wp-content\themes\projeto-final-injunior\functions.php:199), em C:\Users\racic\Local Sites\comesebebes\app\public\wp-content\themes\projeto-final-injunior\functions.php, na linha 254

2023-02-13T00:15:50+00:00 CRITICAL Cannot redeclare products_woocommerce_get_catalog_ordering_args() (previously declared in C:\Users\racic\Local Sites\comesebebes\app\public\wp-content\themes\projeto-final-injunior\functions.php:206), em C:\Users\racic\Local Sites\comesebebes\app\public\wp-content\themes\projeto-final-injunior\functions.php, na linha 255

2023-02-13T00:16:21+00:00 CRITICAL Cannot redeclare products2_woocommerce_catalog_orderby() (previously declared in C:\Users\racic\Local Sites\comesebebes\app\public\wp-content\themes\projeto-final-injunior\functions.php:219), em C:\Users\racic\Local Sites\comesebebes\app\public\wp-content\themes\projeto-final-injunior\functions.php, na linha 257

2023-02-13T00:16:37+00:00 CRITICAL Cannot redeclare products2_woocommerce_get_catalog_ordering_args() (previously declared in C:\Users\racic\Local Sites\comesebebes\app\public\wp-content\themes\projeto-final-injunior\functions.php:226), em C:\Users\racic\Local Sites\comesebebes\app\public\wp-content\themes\projeto-final-injunior\functions.php, na linha 259

2023-02-13T01:26:20+00:00 CRITICAL Unmatched ')', em C:\Users\racic\Local Sites\comesebebes\app\public\wp-content\themes\projeto-final-injunior\woocommerce\checkout\thankyou.php, na linha 68

