2023/02/06 14:05:17 [error] 16768#2624: *3379 WSARecv() failed (10054: FormatMessage() error:(15100)) while reading response header from upstream, client: 127.0.0.1, server: , request: "GET / HTTP/1.0", upstream: "fastcgi://127.0.0.1:10021", host: "comesebebes.local"
2023/02/06 15:14:10 [error] 14328#9772: *1692 directory index of "C:/Users/racic/Local Sites/comesebebes/app/public/wp-content/themes/" is forbidden, client: 127.0.0.1, server: , request: "GET /wp-content/themes/ HTTP/1.1", host: "comesebebes.local:10023"
2023/02/07 10:50:25 [error] 9456#17472: *30 WSARecv() failed (10054: FormatMessage() error:(15100)) while reading response header from upstream, client: 127.0.0.1, server: , request: "POST /wp-login.php HTTP/1.0", upstream: "fastcgi://127.0.0.1:10022", host: "comesebebes.local", referrer: "http://comesebebes.local/wp-login.php?redirect_to=http%3A%2F%2Fcomesebebes.local%2Fwp-admin%2F&reauth=1"
2023/02/09 00:32:13 [error] 11288#17376: *13982 WSARecv() failed (10054: FormatMessage() error:(15100)) while reading response header from upstream, client: 127.0.0.1, server: , request: "GET /wp-json/wc-analytics/admin/notes?page=1&per_page=25&type=error%2Cupdate&status=unactioned&_locale=user HTTP/1.0", upstream: "fastcgi://127.0.0.1:10022", host: "comesebebes.local", referrer: "http://comesebebes.local/wp-admin/edit-tags.php?taxonomy=product_cat&post_type=product"
2023/02/09 16:35:11 [error] 10516#6096: *12736 WSARecv() failed (10054: FormatMessage() error:(15100)) while reading response header from upstream, client: 127.0.0.1, server: , request: "GET /wp-json/wc-analytics/admin/notes?page=1&per_page=25&type=error%2Cupdate&status=unactioned&_locale=user HTTP/1.0", upstream: "fastcgi://127.0.0.1:10021", host: "comesebebes.local", referrer: "http://comesebebes.local/wp-admin/edit.php?post_type=product&page=product_attributes"
2023/02/09 16:35:12 [error] 10516#6096: *12741 WSARecv() failed (10054: FormatMessage() error:(15105)) while reading response header from upstream, client: 127.0.0.1, server: , request: "GET /wp-json/wc-admin/options?options=woocommerce_task_list_reminder_bar_hidden&_locale=user HTTP/1.0", upstream: "fastcgi://127.0.0.1:10022", host: "comesebebes.local", referrer: "http://comesebebes.local/wp-admin/edit.php?post_type=product&page=product_attributes"
2023/02/09 16:35:12 [error] 10516#6096: *12741 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-json/wc-admin/options?options=woocommerce_task_list_reminder_bar_hidden&_locale=user HTTP/1.0", upstream: "fastcgi://php", host: "comesebebes.local", referrer: "http://comesebebes.local/wp-admin/edit.php?post_type=product&page=product_attributes"
2023/02/10 21:16:33 [error] 2624#22480: *15606 WSARecv() failed (10054: FormatMessage() error:(15100)) while reading response header from upstream, client: 127.0.0.1, server: , request: "GET /wp-json/wc-admin/options?options=woocommerce_allow_tracking&_locale=user HTTP/1.0", upstream: "fastcgi://127.0.0.1:10022", host: "comesebebes.local", referrer: "http://comesebebes.local/wp-admin/post.php?post=184&action=edit"
2023/02/10 21:16:33 [error] 2624#22480: *15609 WSARecv() failed (10054: FormatMessage() error:(15105)) while reading response header from upstream, client: 127.0.0.1, server: , request: "GET /wp-json/wc-admin/options?options=woocommerce_task_list_reminder_bar_hidden&_locale=user HTTP/1.0", upstream: "fastcgi://127.0.0.1:10021", host: "comesebebes.local", referrer: "http://comesebebes.local/wp-admin/post.php?post=184&action=edit"
2023/02/10 21:16:33 [error] 2624#22480: *15609 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-json/wc-admin/options?options=woocommerce_task_list_reminder_bar_hidden&_locale=user HTTP/1.0", upstream: "fastcgi://php", host: "comesebebes.local", referrer: "http://comesebebes.local/wp-admin/post.php?post=184&action=edit"
2023/02/10 21:16:40 [error] 2624#22480: *15611 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "POST /wp-admin/post.php HTTP/1.0", upstream: "fastcgi://php", host: "comesebebes.local", referrer: "http://comesebebes.local/wp-admin/post.php?post=184&action=edit"
2023/02/10 21:16:42 [error] 2624#22480: *15612 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-admin/post.php?post=184&action=edit HTTP/1.0", upstream: "fastcgi://php", host: "comesebebes.local", referrer: "http://comesebebes.local/wp-admin/edit.php?post_type=product"
2023/02/10 21:16:43 [error] 2624#22480: *15617 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-admin/post.php?post=184&action=edit HTTP/1.0", upstream: "fastcgi://php", host: "comesebebes.local", referrer: "http://comesebebes.local/wp-admin/edit.php?post_type=product"
